id,movimenti
http://www.wikidata.org/entity/Q3994163,
http://www.wikidata.org/entity/Q3997723,
http://www.wikidata.org/entity/Q3998940,
http://www.wikidata.org/entity/Q3999094,
http://www.wikidata.org/entity/Q3999095,
http://www.wikidata.org/entity/Q4006302,
http://www.wikidata.org/entity/Q4010476,
http://www.wikidata.org/entity/Q4010941,Alto Rinascimento
http://www.wikidata.org/entity/Q4014547,
http://www.wikidata.org/entity/Q4015931,
http://www.wikidata.org/entity/Q4015932,
http://www.wikidata.org/entity/Q5659648,
http://www.wikidata.org/entity/Q5954551,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q6696013,
http://www.wikidata.org/entity/Q7232252,Alto Rinascimento
http://www.wikidata.org/entity/Q7232287,pittura veneta
http://www.wikidata.org/entity/Q28229077,
http://www.wikidata.org/entity/Q28466203,
http://www.wikidata.org/entity/Q28547106,Macchiaioli
http://www.wikidata.org/entity/Q28668222,
http://www.wikidata.org/entity/Q28668544,
http://www.wikidata.org/entity/Q28798137,pittura veneta
http://www.wikidata.org/entity/Q28803486,
http://www.wikidata.org/entity/Q28803484,
http://www.wikidata.org/entity/Q28803514,
http://www.wikidata.org/entity/Q28803759,
http://www.wikidata.org/entity/Q28803789,
http://www.wikidata.org/entity/Q28809144,
http://www.wikidata.org/entity/Q28860726,
http://www.wikidata.org/entity/Q28952741,
http://www.wikidata.org/entity/Q29015025,
http://www.wikidata.org/entity/Q29114098,
http://www.wikidata.org/entity/Q29654663,manierismo
http://www.wikidata.org/entity/Q29997042,
http://www.wikidata.org/entity/Q30031052,
http://www.wikidata.org/entity/Q30032029,
http://www.wikidata.org/entity/Q30135606,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q30605361,
http://www.wikidata.org/entity/Q30880011,
http://www.wikidata.org/entity/Q30880062,
http://www.wikidata.org/entity/Q30880678,
http://www.wikidata.org/entity/Q30880889,
http://www.wikidata.org/entity/Q30887689,
http://www.wikidata.org/entity/Q30887699,
http://www.wikidata.org/entity/Q30887987,
http://www.wikidata.org/entity/Q31559452,
http://www.wikidata.org/entity/Q32904769,manierismo
http://www.wikidata.org/entity/Q34215143,
http://www.wikidata.org/entity/Q37027223,
http://www.wikidata.org/entity/Q40669017,
http://www.wikidata.org/entity/Q40691169,
http://www.wikidata.org/entity/Q40695411,
http://www.wikidata.org/entity/Q42189297,
http://www.wikidata.org/entity/Q45361473,manierismo
http://www.wikidata.org/entity/Q45381203,manierismo
http://www.wikidata.org/entity/Q46833514,Rinascimento francese; primitivi fiamminghi
http://www.wikidata.org/entity/Q46998093,
http://www.wikidata.org/entity/Q48388241,
http://www.wikidata.org/entity/Q48808515,
http://www.wikidata.org/entity/Q48814933,
http://www.wikidata.org/entity/Q48917755,barocco
http://www.wikidata.org/entity/Q48927682,manierismo
http://www.wikidata.org/entity/Q49167284,barocco
http://www.wikidata.org/entity/Q49167493,barocco
http://www.wikidata.org/entity/Q49167697,barocco
http://www.wikidata.org/entity/Q49167869,manierismo; pittura veneta
http://www.wikidata.org/entity/Q50378007,manierismo
http://www.wikidata.org/entity/Q50378015,manierismo
http://www.wikidata.org/entity/Q50384906,manierismo
http://www.wikidata.org/entity/Q50399525,
http://www.wikidata.org/entity/Q50422860,
http://www.wikidata.org/entity/Q50474718,manierismo
http://www.wikidata.org/entity/Q50752920,Rinascimento
http://www.wikidata.org/entity/Q50840293,
http://www.wikidata.org/entity/Q50846578,rococò
http://www.wikidata.org/entity/Q50880887,pittura veneta
http://www.wikidata.org/entity/Q50884435,manierismo
http://www.wikidata.org/entity/Q50894841,
http://www.wikidata.org/entity/Q50939921,
http://www.wikidata.org/entity/Q51212996,
http://www.wikidata.org/entity/Q51726313,
http://www.wikidata.org/entity/Q51918916,
http://www.wikidata.org/entity/Q52084102,
http://www.wikidata.org/entity/Q52155208,
http://www.wikidata.org/entity/Q52155641,
http://www.wikidata.org/entity/Q52157937,
http://www.wikidata.org/entity/Q52217967,Postmacchiaioli
http://www.wikidata.org/entity/Q52329690,
http://www.wikidata.org/entity/Q52735921,
http://www.wikidata.org/entity/Q53560123,
http://www.wikidata.org/entity/Q53940665,
http://www.wikidata.org/entity/Q54086391,
http://www.wikidata.org/entity/Q54625897,
http://www.wikidata.org/entity/Q54811281,
