id,generi
http://www.wikidata.org/entity/Q16573223,
http://www.wikidata.org/entity/Q16574865,arte religiosa
http://www.wikidata.org/entity/Q16585848,arte religiosa
http://www.wikidata.org/entity/Q16585871,
http://www.wikidata.org/entity/Q16596967,ritratto
http://www.wikidata.org/entity/Q16608187,arte religiosa
http://www.wikidata.org/entity/Q16620779,arte religiosa
http://www.wikidata.org/entity/Q16621939,arte religiosa
http://www.wikidata.org/entity/Q17638342,
http://www.wikidata.org/entity/Q17652075,arte religiosa
http://www.wikidata.org/entity/Q18226128,autoritratto
http://www.wikidata.org/entity/Q18385026,
http://www.wikidata.org/entity/Q18578019,
http://www.wikidata.org/entity/Q18688370,ritratto
http://www.wikidata.org/entity/Q19060568,ritratto
http://www.wikidata.org/entity/Q19060621,pittura storica
http://www.wikidata.org/entity/Q19361572,autoritratto
http://www.wikidata.org/entity/Q19390001,autoritratto
http://www.wikidata.org/entity/Q19516146,ritratto
http://www.wikidata.org/entity/Q19660300,vedutismo
http://www.wikidata.org/entity/Q19681559,vedutismo
http://www.wikidata.org/entity/Q19681664,vedutismo; pittura paesaggistica
http://www.wikidata.org/entity/Q19686409,capriccio
http://www.wikidata.org/entity/Q19686414,capriccio
http://www.wikidata.org/entity/Q19882485,ritratto
http://www.wikidata.org/entity/Q19947640,ritratto
http://www.wikidata.org/entity/Q19966565,arte religiosa
http://www.wikidata.org/entity/Q19966606,arte religiosa
http://www.wikidata.org/entity/Q19966608,arte religiosa
http://www.wikidata.org/entity/Q20092785,arte religiosa
http://www.wikidata.org/entity/Q20744065,autoritratto
http://www.wikidata.org/entity/Q20744144,
http://www.wikidata.org/entity/Q20744173,ritratto
http://www.wikidata.org/entity/Q20991673,autoritratto
http://www.wikidata.org/entity/Q21121896,arte religiosa
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q21666329,arte religiosa
http://www.wikidata.org/entity/Q22917444,arte religiosa
http://www.wikidata.org/entity/Q22931136,autoritratto
http://www.wikidata.org/entity/Q22949398,arte religiosa
http://www.wikidata.org/entity/Q22949778,arte religiosa
http://www.wikidata.org/entity/Q22949827,arte religiosa
http://www.wikidata.org/entity/Q22958240,arte religiosa
http://www.wikidata.org/entity/Q23006207,arte religiosa
http://www.wikidata.org/entity/Q23305501,autoritratto
http://www.wikidata.org/entity/Q24050695,pittura paesaggistica
http://www.wikidata.org/entity/Q24090610,pittura paesaggistica
http://www.wikidata.org/entity/Q24090614,pittura paesaggistica
http://www.wikidata.org/entity/Q24091047,paesaggio urbano
http://www.wikidata.org/entity/Q24091066,
http://www.wikidata.org/entity/Q24091089,paesaggio urbano
http://www.wikidata.org/entity/Q24091112,pittura paesaggistica
http://www.wikidata.org/entity/Q24325684,ritratto equestre
http://www.wikidata.org/entity/Q24933808,
http://www.wikidata.org/entity/Q24938224,pittura paesaggistica
http://www.wikidata.org/entity/Q24939660,paesaggio urbano
http://www.wikidata.org/entity/Q24939839,natura morta
http://www.wikidata.org/entity/Q24939843,ritratto
http://www.wikidata.org/entity/Q24939884,ritratto
http://www.wikidata.org/entity/Q24940870,pittura paesaggistica
http://www.wikidata.org/entity/Q25388274,pittura storica; purismo
http://www.wikidata.org/entity/Q25410292,pittura paesaggistica
http://www.wikidata.org/entity/Q25410567,pittura paesaggistica
http://www.wikidata.org/entity/Q25444052,arte religiosa
http://www.wikidata.org/entity/Q26256901,arte religiosa
http://www.wikidata.org/entity/Q26488380,
http://www.wikidata.org/entity/Q27504416,arte religiosa
http://www.wikidata.org/entity/Q27507068,arte religiosa
http://www.wikidata.org/entity/Q27650796,
http://www.wikidata.org/entity/Q27664456,arte religiosa
http://www.wikidata.org/entity/Q27827425,allegoria
http://www.wikidata.org/entity/Q27830737,allegoria
http://www.wikidata.org/entity/Q27948860,ritratto
http://www.wikidata.org/entity/Q27955751,arte religiosa
http://www.wikidata.org/entity/Q28093447,pittura mitologica
http://www.wikidata.org/entity/Q28113318,ritratto
http://www.wikidata.org/entity/Q28113316,ritratto
http://www.wikidata.org/entity/Q28147005,arte religiosa
http://www.wikidata.org/entity/Q28229077,arte religiosa
http://www.wikidata.org/entity/Q28466203,arte religiosa
http://www.wikidata.org/entity/Q28547106,ritratto
http://www.wikidata.org/entity/Q28668222,arte religiosa
http://www.wikidata.org/entity/Q28668544,ritratto
http://www.wikidata.org/entity/Q28798137,arte religiosa
http://www.wikidata.org/entity/Q28803486,pittura mitologica
http://www.wikidata.org/entity/Q28803484,ritratto
http://www.wikidata.org/entity/Q28803514,arte religiosa
http://www.wikidata.org/entity/Q28803759,arte religiosa
http://www.wikidata.org/entity/Q28803789,ritratto
http://www.wikidata.org/entity/Q28809144,
http://www.wikidata.org/entity/Q28860726,arte religiosa
http://www.wikidata.org/entity/Q28952741,ritratto
http://www.wikidata.org/entity/Q29015025,nudo artistico; arte di genere; arte religiosa
http://www.wikidata.org/entity/Q29114098,arte religiosa
http://www.wikidata.org/entity/Q29654663,ritratto
http://www.wikidata.org/entity/Q29997042,ritratto
http://www.wikidata.org/entity/Q30031052,autoritratto
http://www.wikidata.org/entity/Q30032029,
http://www.wikidata.org/entity/Q30135606,arte di genere
http://www.wikidata.org/entity/Q30605361,arte religiosa
http://www.wikidata.org/entity/Q30880011,paesaggio urbano
http://www.wikidata.org/entity/Q30880062,pittura paesaggistica
http://www.wikidata.org/entity/Q30880678,
http://www.wikidata.org/entity/Q30880889,ritratto
http://www.wikidata.org/entity/Q30887689,paesaggio urbano
http://www.wikidata.org/entity/Q30887699,
http://www.wikidata.org/entity/Q30887987,pittura mitologica
http://www.wikidata.org/entity/Q31559452,
http://www.wikidata.org/entity/Q32904769,arte religiosa
http://www.wikidata.org/entity/Q34215143,ritratto
http://www.wikidata.org/entity/Q37027223,arte religiosa
http://www.wikidata.org/entity/Q40669017,arte religiosa
http://www.wikidata.org/entity/Q40691169,arte religiosa
http://www.wikidata.org/entity/Q40695411,arte religiosa
http://www.wikidata.org/entity/Q42189297,ritratto
http://www.wikidata.org/entity/Q45361473,arte religiosa
http://www.wikidata.org/entity/Q45381203,ritratto; autoritratto
http://www.wikidata.org/entity/Q46833514,ritratto
http://www.wikidata.org/entity/Q46998093,
http://www.wikidata.org/entity/Q48388241,ritratto
http://www.wikidata.org/entity/Q48808515,arte religiosa
http://www.wikidata.org/entity/Q48814933,ritratto
http://www.wikidata.org/entity/Q48917755,arte religiosa
http://www.wikidata.org/entity/Q48927682,arte religiosa
http://www.wikidata.org/entity/Q49167284,allegoria
http://www.wikidata.org/entity/Q49167493,arte religiosa
http://www.wikidata.org/entity/Q49167697,pittura storica
http://www.wikidata.org/entity/Q49167869,ritratto
http://www.wikidata.org/entity/Q50378007,ritratto
http://www.wikidata.org/entity/Q50378015,ritratto
http://www.wikidata.org/entity/Q50384906,ritratto
http://www.wikidata.org/entity/Q50399525,pittura mitologica
http://www.wikidata.org/entity/Q50422860,ritratto
http://www.wikidata.org/entity/Q50474718,allegoria
http://www.wikidata.org/entity/Q50752920,arte religiosa
http://www.wikidata.org/entity/Q50840293,ritratto
http://www.wikidata.org/entity/Q50846578,allegoria
http://www.wikidata.org/entity/Q50880887,ritratto
http://www.wikidata.org/entity/Q50884435,arte religiosa
http://www.wikidata.org/entity/Q50894841,autoritratto
http://www.wikidata.org/entity/Q50939921,ritratto
http://www.wikidata.org/entity/Q51212996,ritratto
http://www.wikidata.org/entity/Q51726313,arte di genere
http://www.wikidata.org/entity/Q51918916,
