id,artisti
http://www.wikidata.org/entity/Q130221017,
http://www.wikidata.org/entity/Q130552524,
http://www.wikidata.org/entity/Q131350054,
http://www.wikidata.org/entity/Q131422012,
http://www.wikidata.org/entity/Q131422030,
http://www.wikidata.org/entity/Q131422031,
http://www.wikidata.org/entity/Q131422028,
http://www.wikidata.org/entity/Q131422029,
http://www.wikidata.org/entity/Q131449707,
http://www.wikidata.org/entity/Q131450134,
http://www.wikidata.org/entity/Q131450135,
http://www.wikidata.org/entity/Q131450138,
http://www.wikidata.org/entity/Q131450136,
http://www.wikidata.org/entity/Q131450154,
http://www.wikidata.org/entity/Q131450153,
http://www.wikidata.org/entity/Q131501712,
http://www.wikidata.org/entity/Q131501759,
http://www.wikidata.org/entity/Q131501830,
http://www.wikidata.org/entity/Q131542595,
http://www.wikidata.org/entity/Q131543565,
http://www.wikidata.org/entity/Q131543680,
http://www.wikidata.org/entity/Q131546466,
http://www.wikidata.org/entity/Q131557854,
http://www.wikidata.org/entity/Q131557902,
http://www.wikidata.org/entity/Q131561692,
http://www.wikidata.org/entity/Q131563724,
http://www.wikidata.org/entity/Q131576650,
http://www.wikidata.org/entity/Q131576651,
http://www.wikidata.org/entity/Q131579612,
http://www.wikidata.org/entity/Q131579625,
http://www.wikidata.org/entity/Q131579646,
http://www.wikidata.org/entity/Q131579667,
http://www.wikidata.org/entity/Q131579670,
http://www.wikidata.org/entity/Q131579671,
http://www.wikidata.org/entity/Q131579669,
http://www.wikidata.org/entity/Q131579674,
http://www.wikidata.org/entity/Q131579672,
http://www.wikidata.org/entity/Q131579673,
http://www.wikidata.org/entity/Q131579688,
http://www.wikidata.org/entity/Q131587980,
http://www.wikidata.org/entity/Q131604568,
http://www.wikidata.org/entity/Q131604582,
http://www.wikidata.org/entity/Q131613582,
http://www.wikidata.org/entity/Q131613592,
http://www.wikidata.org/entity/Q131613626,
http://www.wikidata.org/entity/Q131613637,
http://www.wikidata.org/entity/Q131613656,
http://www.wikidata.org/entity/Q131613666,
http://www.wikidata.org/entity/Q131613667,
http://www.wikidata.org/entity/Q131613670,
http://www.wikidata.org/entity/Q131613671,
http://www.wikidata.org/entity/Q131613668,
http://www.wikidata.org/entity/Q131613669,
http://www.wikidata.org/entity/Q131613743,
http://www.wikidata.org/entity/Q131613870,
http://www.wikidata.org/entity/Q131613869,
http://www.wikidata.org/entity/Q131617917,
http://www.wikidata.org/entity/Q131627574,
http://www.wikidata.org/entity/Q131627817,
http://www.wikidata.org/entity/Q131674346,
http://www.wikidata.org/entity/Q131674353,
http://www.wikidata.org/entity/Q131674382,
http://www.wikidata.org/entity/Q131675947,
http://www.wikidata.org/entity/Q131675966,
http://www.wikidata.org/entity/Q131675995,
http://www.wikidata.org/entity/Q114065222,
http://www.wikidata.org/entity/Q3685501,Luca Signorelli (maschio)
http://www.wikidata.org/entity/Q3686814,Albrecht Altdorfer (maschio)
http://www.wikidata.org/entity/Q3697588,Bramante (maschio)
