id,soggetti
http://www.wikidata.org/entity/Q62272761,
http://www.wikidata.org/entity/Q62476202,Napoleone III di Francia
http://www.wikidata.org/entity/Q63476058,Risurrezione di Gesù
http://www.wikidata.org/entity/Q63994924,conversione di Paolo
http://www.wikidata.org/entity/Q63995247,
http://www.wikidata.org/entity/Q64766792,Alessandro Farnese il Giovane
http://www.wikidata.org/entity/Q65610116,
http://www.wikidata.org/entity/Q66098687,flagellazione di Gesù
http://www.wikidata.org/entity/Q67203105,
http://www.wikidata.org/entity/Q67203111,
http://www.wikidata.org/entity/Q68704168,
http://www.wikidata.org/entity/Q69658139,papa Clemente VII
http://www.wikidata.org/entity/Q69859246,Diego Martelli
http://www.wikidata.org/entity/Q71126799,sepoltura di Gesù
http://www.wikidata.org/entity/Q74717988,Cristo porta la croce
http://www.wikidata.org/entity/Q77310161,Madonna col Bambino
http://www.wikidata.org/entity/Q78330040,Caterina Sforza
http://www.wikidata.org/entity/Q78756742,Assunzione di Maria
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,san Rocco
http://www.wikidata.org/entity/Q79020756,
http://www.wikidata.org/entity/Q79021384,Sacrificio di Isacco
http://www.wikidata.org/entity/Q79021962,
http://www.wikidata.org/entity/Q79022279,
http://www.wikidata.org/entity/Q79022528,
http://www.wikidata.org/entity/Q79022983,
http://www.wikidata.org/entity/Q79023210,
http://www.wikidata.org/entity/Q79023501,
http://www.wikidata.org/entity/Q79024384,moltiplicazione dei pani e dei pesci
http://www.wikidata.org/entity/Q79024730,
http://www.wikidata.org/entity/Q79025062,
http://www.wikidata.org/entity/Q79026167,Agar
http://www.wikidata.org/entity/Q79151177,Eugenia de Montijo
http://www.wikidata.org/entity/Q79859145,papa Alessandro VI
http://www.wikidata.org/entity/Q80824471,Tito Vespasiano Strozzi
http://www.wikidata.org/entity/Q81089309,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q86674601,Davide e Golia
http://www.wikidata.org/entity/Q87469267,Annunciazione
http://www.wikidata.org/entity/Q88164010,
http://www.wikidata.org/entity/Q88416397,crocifissione di Gesù
http://www.wikidata.org/entity/Q88961191,
http://www.wikidata.org/entity/Q89034154,
http://www.wikidata.org/entity/Q89035643,
http://www.wikidata.org/entity/Q89039593,
http://www.wikidata.org/entity/Q89697566,
http://www.wikidata.org/entity/Q90291195,
http://www.wikidata.org/entity/Q93520523,Riposo durante la fuga in Egitto
http://www.wikidata.org/entity/Q93631317,flagellazione di Gesù
http://www.wikidata.org/entity/Q94634547,
http://www.wikidata.org/entity/Q94636244,
http://www.wikidata.org/entity/Q96025421,
http://www.wikidata.org/entity/Q96192148,
http://www.wikidata.org/entity/Q97065805,Vespasiano I Gonzaga
http://www.wikidata.org/entity/Q97378803,
http://www.wikidata.org/entity/Q97463134,
http://www.wikidata.org/entity/Q97669288,
http://www.wikidata.org/entity/Q97669846,
http://www.wikidata.org/entity/Q97933450,Ainolfo de Bardi
http://www.wikidata.org/entity/Q98108204,
http://www.wikidata.org/entity/Q98449585,Immacolata Concezione
http://www.wikidata.org/entity/Q98545387,
http://www.wikidata.org/entity/Q98557614,
http://www.wikidata.org/entity/Q98684801,
http://www.wikidata.org/entity/Q98925578,
http://www.wikidata.org/entity/Q98925663,Teresa Miramonti
http://www.wikidata.org/entity/Q99323182,
http://www.wikidata.org/entity/Q99937752,
http://www.wikidata.org/entity/Q100273549,papa Pio VIII
http://www.wikidata.org/entity/Q100502707,papa Pio VIII
http://www.wikidata.org/entity/Q101853163,anime del Purgatorio
http://www.wikidata.org/entity/Q101984696,deposizione di Gesù
http://www.wikidata.org/entity/Q103823905,Caterina d'Alessandria
http://www.wikidata.org/entity/Q103847443,Madonna col Bambino
http://www.wikidata.org/entity/Q103884105,Leopoldo de' Medici
http://www.wikidata.org/entity/Q104117302,
