id,altezza
http://www.wikidata.org/entity/Q3636748,115
http://www.wikidata.org/entity/Q3639064,244
http://www.wikidata.org/entity/Q3642142,110
http://www.wikidata.org/entity/Q3650885,116
http://www.wikidata.org/entity/Q113878786,
http://www.wikidata.org/entity/Q3685501,232
http://www.wikidata.org/entity/Q3686814,76.4
http://www.wikidata.org/entity/Q3697602,55
http://www.wikidata.org/entity/Q3697640,283
http://www.wikidata.org/entity/Q3697588,93.7
http://www.wikidata.org/entity/Q3698182,372
http://www.wikidata.org/entity/Q3704794,245
http://www.wikidata.org/entity/Q114869573,
http://www.wikidata.org/entity/Q3706331,386
http://www.wikidata.org/entity/Q3709306,58.4
http://www.wikidata.org/entity/Q115067483,
http://www.wikidata.org/entity/Q3711898,103
http://www.wikidata.org/entity/Q3725199,58.7
http://www.wikidata.org/entity/Q3725832,367
http://www.wikidata.org/entity/Q115680005,
http://www.wikidata.org/entity/Q3731103,123.5
http://www.wikidata.org/entity/Q3732905,268
http://www.wikidata.org/entity/Q115862528,
http://www.wikidata.org/entity/Q115898761,
http://www.wikidata.org/entity/Q3740793,168
http://www.wikidata.org/entity/Q3743879,172
http://www.wikidata.org/entity/Q3747239,144
http://www.wikidata.org/entity/Q116270130,
http://www.wikidata.org/entity/Q3752350,54
http://www.wikidata.org/entity/Q3752977,77
http://www.wikidata.org/entity/Q3766168,67
http://www.wikidata.org/entity/Q3769202,600
http://www.wikidata.org/entity/Q3771679,95
http://www.wikidata.org/entity/Q3771749,148
http://www.wikidata.org/entity/Q3771746,212
http://www.wikidata.org/entity/Q116990427,
http://www.wikidata.org/entity/Q117042320,
http://www.wikidata.org/entity/Q3775535,62
http://www.wikidata.org/entity/Q3778382,37
http://www.wikidata.org/entity/Q117304805,
http://www.wikidata.org/entity/Q3784272,58
http://www.wikidata.org/entity/Q3784247,89
http://www.wikidata.org/entity/Q117427024,
http://www.wikidata.org/entity/Q117447676,
http://www.wikidata.org/entity/Q117470090,
http://www.wikidata.org/entity/Q117715996,
http://www.wikidata.org/entity/Q3797482,37
http://www.wikidata.org/entity/Q117834449,
http://www.wikidata.org/entity/Q117834473,
http://www.wikidata.org/entity/Q117834509,
http://www.wikidata.org/entity/Q117834674,
http://www.wikidata.org/entity/Q117834758,
http://www.wikidata.org/entity/Q117834806,
http://www.wikidata.org/entity/Q117834885,
http://www.wikidata.org/entity/Q117848663,
http://www.wikidata.org/entity/Q117848759,
http://www.wikidata.org/entity/Q117848804,
http://www.wikidata.org/entity/Q117848843,
http://www.wikidata.org/entity/Q117848873,
http://www.wikidata.org/entity/Q117849453,
http://www.wikidata.org/entity/Q117849868,
http://www.wikidata.org/entity/Q117850467,
http://www.wikidata.org/entity/Q117949491,
http://www.wikidata.org/entity/Q117950829,
http://www.wikidata.org/entity/Q118287906,
http://www.wikidata.org/entity/Q3817178,371
http://www.wikidata.org/entity/Q118368958,
http://www.wikidata.org/entity/Q118398891,
http://www.wikidata.org/entity/Q118399101,
http://www.wikidata.org/entity/Q3821139,12
http://www.wikidata.org/entity/Q3821405,208
http://www.wikidata.org/entity/Q118522898,
http://www.wikidata.org/entity/Q3823990,66
http://www.wikidata.org/entity/Q118590751,
http://www.wikidata.org/entity/Q118601577,
http://www.wikidata.org/entity/Q118605466,
http://www.wikidata.org/entity/Q118606399,
http://www.wikidata.org/entity/Q118611138,
http://www.wikidata.org/entity/Q118641092,
http://www.wikidata.org/entity/Q118675903,
http://www.wikidata.org/entity/Q118678052,
http://www.wikidata.org/entity/Q118680631,
http://www.wikidata.org/entity/Q118724762,
http://www.wikidata.org/entity/Q118725088,
http://www.wikidata.org/entity/Q3831651,364
http://www.wikidata.org/entity/Q118822913,
http://www.wikidata.org/entity/Q118835177,
http://www.wikidata.org/entity/Q118868275,
http://www.wikidata.org/entity/Q118869818,
http://www.wikidata.org/entity/Q118873919,
http://www.wikidata.org/entity/Q3834971,107
http://www.wikidata.org/entity/Q118905108,
http://www.wikidata.org/entity/Q119010849,
http://www.wikidata.org/entity/Q3842413,38
http://www.wikidata.org/entity/Q3842424,32
http://www.wikidata.org/entity/Q3842472,80
http://www.wikidata.org/entity/Q3842438,47
http://www.wikidata.org/entity/Q3842439,89
http://www.wikidata.org/entity/Q3842484,47
http://www.wikidata.org/entity/Q3842533,41
http://www.wikidata.org/entity/Q3842522,89
http://www.wikidata.org/entity/Q3842575,710
http://www.wikidata.org/entity/Q3842594,58
http://www.wikidata.org/entity/Q3842521,134
http://www.wikidata.org/entity/Q3842577,112
http://www.wikidata.org/entity/Q3842706,21
http://www.wikidata.org/entity/Q3842700,69
http://www.wikidata.org/entity/Q3842725,71
http://www.wikidata.org/entity/Q3842673,143
http://www.wikidata.org/entity/Q3842530,29.5
http://www.wikidata.org/entity/Q3842713,127
http://www.wikidata.org/entity/Q3842412,47.4
http://www.wikidata.org/entity/Q3842543,119.5
http://www.wikidata.org/entity/Q119292565,
http://www.wikidata.org/entity/Q119353076,
http://www.wikidata.org/entity/Q119404568,
http://www.wikidata.org/entity/Q119443390,
http://www.wikidata.org/entity/Q119443609,
http://www.wikidata.org/entity/Q119493466,
http://www.wikidata.org/entity/Q119574411,
http://www.wikidata.org/entity/Q3863247,362
http://www.wikidata.org/entity/Q119819515,
http://www.wikidata.org/entity/Q119846277,
http://www.wikidata.org/entity/Q3873244,220
http://www.wikidata.org/entity/Q3879242,250
http://www.wikidata.org/entity/Q120311223,
http://www.wikidata.org/entity/Q120317949,
http://www.wikidata.org/entity/Q3884948,141
http://www.wikidata.org/entity/Q3885620,39
