id,larghezza
http://www.wikidata.org/entity/Q117834806,
http://www.wikidata.org/entity/Q117834885,
http://www.wikidata.org/entity/Q117848663,
http://www.wikidata.org/entity/Q117848759,
http://www.wikidata.org/entity/Q117848804,
http://www.wikidata.org/entity/Q117848843,
http://www.wikidata.org/entity/Q117848873,
http://www.wikidata.org/entity/Q117849453,
http://www.wikidata.org/entity/Q117849868,
http://www.wikidata.org/entity/Q117850467,
http://www.wikidata.org/entity/Q117949491,
http://www.wikidata.org/entity/Q117950829,
http://www.wikidata.org/entity/Q118287906,
http://www.wikidata.org/entity/Q3817178,392
http://www.wikidata.org/entity/Q118368958,
http://www.wikidata.org/entity/Q118398891,
http://www.wikidata.org/entity/Q118399101,
http://www.wikidata.org/entity/Q3821139,35
http://www.wikidata.org/entity/Q3821405,364
http://www.wikidata.org/entity/Q118522898,
http://www.wikidata.org/entity/Q3823990,59
http://www.wikidata.org/entity/Q118590751,
http://www.wikidata.org/entity/Q118601577,
http://www.wikidata.org/entity/Q118605466,
http://www.wikidata.org/entity/Q118606399,
http://www.wikidata.org/entity/Q118611138,
http://www.wikidata.org/entity/Q118641092,
http://www.wikidata.org/entity/Q118675903,
http://www.wikidata.org/entity/Q118678052,
http://www.wikidata.org/entity/Q118680631,
http://www.wikidata.org/entity/Q118724762,
http://www.wikidata.org/entity/Q118725088,
http://www.wikidata.org/entity/Q3831651,300
http://www.wikidata.org/entity/Q118822913,
http://www.wikidata.org/entity/Q118835177,
http://www.wikidata.org/entity/Q118868275,
http://www.wikidata.org/entity/Q118869818,
http://www.wikidata.org/entity/Q118873919,
http://www.wikidata.org/entity/Q3834971,95
http://www.wikidata.org/entity/Q118905108,
http://www.wikidata.org/entity/Q119010849,
http://www.wikidata.org/entity/Q3842413,48
http://www.wikidata.org/entity/Q3842438,36
http://www.wikidata.org/entity/Q3842439,64
http://www.wikidata.org/entity/Q3842522,74
http://www.wikidata.org/entity/Q3842543,61
http://www.wikidata.org/entity/Q3842521,92
http://www.wikidata.org/entity/Q3842424,22.2
http://www.wikidata.org/entity/Q3842575,1080
http://www.wikidata.org/entity/Q3842673,70
http://www.wikidata.org/entity/Q3842577,112
http://www.wikidata.org/entity/Q3842594,107
http://www.wikidata.org/entity/Q3842706,15
http://www.wikidata.org/entity/Q3842725,50
http://www.wikidata.org/entity/Q3842412,33.8
http://www.wikidata.org/entity/Q3842530,22.8
http://www.wikidata.org/entity/Q3842713,63
http://www.wikidata.org/entity/Q3842484,31.5
http://www.wikidata.org/entity/Q3842533,32.5
http://www.wikidata.org/entity/Q3842472,52.5
http://www.wikidata.org/entity/Q3842700,96.5
http://www.wikidata.org/entity/Q119292565,
http://www.wikidata.org/entity/Q119353076,
http://www.wikidata.org/entity/Q119404568,
http://www.wikidata.org/entity/Q119443390,
http://www.wikidata.org/entity/Q119443609,
http://www.wikidata.org/entity/Q119493466,
http://www.wikidata.org/entity/Q119574411,
http://www.wikidata.org/entity/Q3863247,306
http://www.wikidata.org/entity/Q119819515,
http://www.wikidata.org/entity/Q119846277,
http://www.wikidata.org/entity/Q3873244,162
http://www.wikidata.org/entity/Q3879242,140
http://www.wikidata.org/entity/Q120311223,
http://www.wikidata.org/entity/Q120317949,
http://www.wikidata.org/entity/Q3884948,107
http://www.wikidata.org/entity/Q3885620,53
http://www.wikidata.org/entity/Q120488471,
http://www.wikidata.org/entity/Q120488611,
http://www.wikidata.org/entity/Q120488851,
http://www.wikidata.org/entity/Q120489814,
http://www.wikidata.org/entity/Q3889229,210
http://www.wikidata.org/entity/Q3889247,240
http://www.wikidata.org/entity/Q3889255,160
http://www.wikidata.org/entity/Q3889254,280
http://www.wikidata.org/entity/Q3889195,119
http://www.wikidata.org/entity/Q3889211,165
http://www.wikidata.org/entity/Q3889203,215
http://www.wikidata.org/entity/Q3889253,255
http://www.wikidata.org/entity/Q3889220,335
http://www.wikidata.org/entity/Q120598525,
http://www.wikidata.org/entity/Q120598716,
http://www.wikidata.org/entity/Q120884863,
http://www.wikidata.org/entity/Q120884895,
http://www.wikidata.org/entity/Q120900571,
http://www.wikidata.org/entity/Q120903815,
http://www.wikidata.org/entity/Q3904398,150
http://www.wikidata.org/entity/Q3904392,32.4
http://www.wikidata.org/entity/Q3907497,315
http://www.wikidata.org/entity/Q3907344,70.5
http://www.wikidata.org/entity/Q3910087,770
http://www.wikidata.org/entity/Q3910913,157
http://www.wikidata.org/entity/Q121546107,
http://www.wikidata.org/entity/Q3921705,80
http://www.wikidata.org/entity/Q3921912,145
http://www.wikidata.org/entity/Q3924389,72
http://www.wikidata.org/entity/Q121689728,
http://www.wikidata.org/entity/Q3925592,300
http://www.wikidata.org/entity/Q121735048,
http://www.wikidata.org/entity/Q121995915,
http://www.wikidata.org/entity/Q3937080,64
