id,collezioni
http://www.wikidata.org/entity/Q19686414,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q19882485,Galleria nazionale d'arte antica
http://www.wikidata.org/entity/Q19947640,Accademia Carrara; Collezione Lochis
http://www.wikidata.org/entity/Q19966565,Pinacoteca Nazionale di Bologna
http://www.wikidata.org/entity/Q19966606,Banco di Brescia; Collezione d'arte del Banco di Brescia
http://www.wikidata.org/entity/Q19966608,Galleria nazionale di Parma
http://www.wikidata.org/entity/Q20092785,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q20744065,
http://www.wikidata.org/entity/Q20744144,
http://www.wikidata.org/entity/Q20744173,
http://www.wikidata.org/entity/Q20991673,Quadreria dell'ospedale di Busto Arsizio
http://www.wikidata.org/entity/Q21121896,Galleria nazionale di Parma
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q21666329,Museo civico di Rieti
http://www.wikidata.org/entity/Q22917444,basilica di San Giovanni Battista
http://www.wikidata.org/entity/Q22931136,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q22949398,Parrocchia di San Giovanni Battista
http://www.wikidata.org/entity/Q22949778,
http://www.wikidata.org/entity/Q22949827,battistero San Filippo Neri
http://www.wikidata.org/entity/Q22958240,basilica di San Giovanni Battista
http://www.wikidata.org/entity/Q23006207,Museo di arte sacra di San Michele Arcangelo
http://www.wikidata.org/entity/Q23305501,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q24050695,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24090610,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24090614,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24091047,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24091066,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24091089,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24091112,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24325684,Galleria Palatina
http://www.wikidata.org/entity/Q24933808,chiostri del monastero dei Santi Severino e Sossio
http://www.wikidata.org/entity/Q24938224,
http://www.wikidata.org/entity/Q24939660,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24939839,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24939843,Palazzo Te
http://www.wikidata.org/entity/Q24939884,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q24940870,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q25388274,Banca Monte dei Paschi di Siena; museo di San Donato
http://www.wikidata.org/entity/Q25410292,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q25410567,Collezioni d'arte della Fondazione Cariplo
http://www.wikidata.org/entity/Q25444052,Pinacoteca Nazionale di Bologna
http://www.wikidata.org/entity/Q26256901,
http://www.wikidata.org/entity/Q26488380,basilica di San Giovanni Battista
http://www.wikidata.org/entity/Q27504416,chiesa di Sant'Alessandro
http://www.wikidata.org/entity/Q27507068,
http://www.wikidata.org/entity/Q27650796,Galleria civica d'arte moderna e contemporanea di Torino
http://www.wikidata.org/entity/Q27664456,chiesa di San Filippo
http://www.wikidata.org/entity/Q27827425,Palazzo Chigi
http://www.wikidata.org/entity/Q27830737,Palazzo Chigi
http://www.wikidata.org/entity/Q27948860,Pinacoteca di Brera
http://www.wikidata.org/entity/Q27955751,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q28093447,Houston Museum of Fine Arts
http://www.wikidata.org/entity/Q28113318,Galleria nazionale d'arte antica
http://www.wikidata.org/entity/Q28113316,Galleria nazionale d'arte antica
http://www.wikidata.org/entity/Q28147005,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2635552,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q2665840,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q2713203,basilica di Sant'Agostino in Campo Marzio
http://www.wikidata.org/entity/Q2713823,Palazzo degli Uffizi; Galleria Palatina
http://www.wikidata.org/entity/Q2714237,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2715177,Galleria Borghese; Collezione Borghese
http://www.wikidata.org/entity/Q2715302,Galleria Borghese
http://www.wikidata.org/entity/Q2717478,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q2732274,Galleria Doria Pamphilj
http://www.wikidata.org/entity/Q2734111,
http://www.wikidata.org/entity/Q2866382,basilica di San Francesco
http://www.wikidata.org/entity/Q2872721,Palazzo degli Uffizi; Corridoio Vasariano
http://www.wikidata.org/entity/Q2920183,chiesa di San Salvador
http://www.wikidata.org/entity/Q2929922,basilica di San Francesco
http://www.wikidata.org/entity/Q3044873,basilica di San Francesco
http://www.wikidata.org/entity/Q3185885,basilica di San Francesco
http://www.wikidata.org/entity/Q3201479,Museo degli innocenti
http://www.wikidata.org/entity/Q3207247,Museo del Novecento
http://www.wikidata.org/entity/Q3207678,Galleria Palatina
http://www.wikidata.org/entity/Q3207989,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3210267,Galleria dell'Accademia
http://www.wikidata.org/entity/Q3213773,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3213778,Galleria dell'Accademia
http://www.wikidata.org/entity/Q3213801,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3220282,chiesa di Santa Corona
http://www.wikidata.org/entity/Q3223625,Musei capitolini
http://www.wikidata.org/entity/Q3276171,Museo diocesano di Santo Stefano al Ponte
http://www.wikidata.org/entity/Q3276168,Pieve di San Lorenzo
http://www.wikidata.org/entity/Q3276180,basilica di San Francesco
http://www.wikidata.org/entity/Q3399438,Accademia Carrara
http://www.wikidata.org/entity/Q3463871,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3464027,basilica di San Francesco
http://www.wikidata.org/entity/Q3471589,basilica di San Francesco
http://www.wikidata.org/entity/Q3472935,Museo Horne
http://www.wikidata.org/entity/Q3495790,Galleria Doria Pamphilj
http://www.wikidata.org/entity/Q3605530,collegiata dei Santi Nazaro e Celso
http://www.wikidata.org/entity/Q3605532,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3605568,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3618188,Galleria Palatina
http://www.wikidata.org/entity/Q3620766,chiesa di Santa Maria Maddalena
http://www.wikidata.org/entity/Q3620765,Palazzo Pozzobonelli-Isimbardi
http://www.wikidata.org/entity/Q3623738,Galleria Borghese; Collezione Borghese
http://www.wikidata.org/entity/Q3625842,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3627401,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3630726,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3636748,Musei capitolini
http://www.wikidata.org/entity/Q3639064,Palazzo della Prefettura
http://www.wikidata.org/entity/Q3642142,basilica di San Giovanni in Laterano
http://www.wikidata.org/entity/Q3650885,National Gallery
http://www.wikidata.org/entity/Q3685501,Museo diocesano di Cortona
http://www.wikidata.org/entity/Q3686814,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3697588,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3697602,duomo di Livorno
http://www.wikidata.org/entity/Q3697640,Museo del Cenacolo di Sant'Apollonia; Museo del Cenacolo di Sant'Apollonia
http://www.wikidata.org/entity/Q3698182,Pinacoteca di Brera
http://www.wikidata.org/entity/Q3698204,chiesa di San Giovanni a Carbonara
http://www.wikidata.org/entity/Q3704794,Galleria Sabauda
http://www.wikidata.org/entity/Q3706331,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3709306,National Gallery of Canada
http://www.wikidata.org/entity/Q3711898,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3714445,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3725199,National Gallery of Art; Collezione Samuel H. Kress
http://www.wikidata.org/entity/Q3725832,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3731103,Palazzo dei Diamanti
http://www.wikidata.org/entity/Q3732905,Museo dell'Opera del Duomo
http://www.wikidata.org/entity/Q3740793,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3743879,Museo del Prado
http://www.wikidata.org/entity/Q3747239,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q3752350,Villa I Tatti
http://www.wikidata.org/entity/Q3752977,Casa Giorgione
http://www.wikidata.org/entity/Q3766168,Galleria nazionale di Parma
http://www.wikidata.org/entity/Q3769202,Camposanto monumentale
http://www.wikidata.org/entity/Q3771679,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3771746,Galleria Giorgio Franchetti alla Ca' d'Oro
http://www.wikidata.org/entity/Q3771749,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3775535,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3778382,Museo nazionale di San Matteo; Museo di San Marco
http://www.wikidata.org/entity/Q3784247,Galleria Palatina
http://www.wikidata.org/entity/Q3784272,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3797482,Collezione Marzotto
http://www.wikidata.org/entity/Q3817178,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q3821139,Galleria d'arte moderna di Firenze
http://www.wikidata.org/entity/Q3821405,Museo del Risorgimento
http://www.wikidata.org/entity/Q3823990,Ca' Pesaro
http://www.wikidata.org/entity/Q3831651,basilica della Santissima Annunziata
http://www.wikidata.org/entity/Q3834971,Galleria di Palazzo Cini; Collezione Vittorio Cini
http://www.wikidata.org/entity/Q3842412,Accademia Carrara; Collezione Lochis
http://www.wikidata.org/entity/Q3842413,Accademia Carrara; Collezione Lochis
http://www.wikidata.org/entity/Q3842424,Collezione Vittorio Cini
http://www.wikidata.org/entity/Q3842438,Galleria di Palazzo Cini; Collezione Vittorio Cini
http://www.wikidata.org/entity/Q3842439,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3842472,Fondazione Magnani-Rocca
http://www.wikidata.org/entity/Q3842484,Pinacoteca Malaspina
http://www.wikidata.org/entity/Q3842522,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3842521,Galleria Palatina
http://www.wikidata.org/entity/Q3842530,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3842533,Palazzo degli Uffizi; Pinacoteca del Castello Sforzesco
http://www.wikidata.org/entity/Q3842543,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q3842575,Musei di Strada Nuova
http://www.wikidata.org/entity/Q3842577,Palazzo Corsini al Parione
http://www.wikidata.org/entity/Q28229077,Galleria Regionale
http://www.wikidata.org/entity/Q28466203,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q28547106,Galleria d'arte moderna di Firenze; Collezione Riccardo Gualino (1910-1930)
http://www.wikidata.org/entity/Q28668222,basilica di Santa Maria del Colle
http://www.wikidata.org/entity/Q28668544,Galleria Palatina
http://www.wikidata.org/entity/Q28798137,Musei di Strada Nuova
http://www.wikidata.org/entity/Q28803486,Musei di Strada Nuova
http://www.wikidata.org/entity/Q28803484,Musei di Strada Nuova
http://www.wikidata.org/entity/Q28803514,Musei di Strada Nuova
http://www.wikidata.org/entity/Q28803759,Musei di Strada Nuova
http://www.wikidata.org/entity/Q28803789,Musei di Strada Nuova
http://www.wikidata.org/entity/Q28809144,Musei di Strada Nuova
