id,titolo,artisti,data_creazione,generi,luoghi,collezioni,contenuti,movimenti,soggetti,altezza,larghezza
http://www.wikidata.org/entity/Q131613900,San Giovanni Battista,Caravaggio (maschio),1602,nudo artistico; arte religiosa,Galleria Doria Pamphilj,Galleria Doria Pamphilj,piante; nudità; Giovanni Battista; montone; panneggio,,Giovanni Battista,132.0,98.5
http://www.wikidata.org/entity/Q131613787,Maternità,Bruno Saetti (maschio),1956,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,maternità,,maternità,,
http://www.wikidata.org/entity/Q131613739,Madonna,Achille Funi (maschio),1956,arte religiosa,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,Maria,,Maria,,
http://www.wikidata.org/entity/Q131613891,Ritratto d'uomo,Jacopo Tintoretto (maschio),1546,ritratto,Palazzo degli Uffizi,Palazzo degli Uffizi,maschio,,maschio,,
http://www.wikidata.org/entity/Q131851009,Il caffè,Pietro Longhi (maschio),,,Museo di Castelvecchio,Museo di Castelvecchio,caffetteria,,caffetteria,,
http://www.wikidata.org/entity/Q131825315,Sacra conversazione,Giovanni Martini (maschio),,arte religiosa,Museo Correr,Museo Correr,Madonna col Bambino,,Sacra conversazione; Madonna col Bambino,,
http://www.wikidata.org/entity/Q131831573,Sant'Anna Metterza,,1500,arte religiosa,Museo diocesano,Museo diocesano,Metterza,,Metterza,,
http://www.wikidata.org/entity/Q131851008,Il Redentore e gli apostoli,Bonifacio Veronese (maschio),,,Gallerie dell'Accademia,Gallerie dell'Accademia,Gesù; dodici apostoli,,Gesù; Redentore; dodici apostoli,,
http://www.wikidata.org/entity/Q131813340,Stanza di Apollo,Francesco Salviati (maschio),,,Palazzo Grimani di Santa Maria Formosa,Palazzo Grimani di Santa Maria Formosa,Apollo,,Apollo,,
http://www.wikidata.org/entity/Q131823354,Alaide Banti al caminetto,Giovanni Boldini (maschio),1885,ritratto,Galleria d'arte moderna di Firenze,Galleria d'arte moderna di Firenze,,,,60.0,26.5
http://www.wikidata.org/entity/Q131823355,Giove che fulmina i vizi,Paolo Veronese (maschio),,,Palazzo Ducale,Palazzo Ducale,Giove; vizio,,Giove,,
http://www.wikidata.org/entity/Q131823366,Gloria di Santa Caterina di Alessandria,Francesco Conti (maschio),1737,,Museo di Palazzo Pretorio,Museo di Palazzo Pretorio,Caterina d'Alessandria,,Caterina d'Alessandria,280.0,187.0
http://www.wikidata.org/entity/Q131823364,"Gloria di San Carlo Borromeo con la Trinità, angeli e santi",Matteo Rosselli (maschio),1616,,chiesa di San Carlo dei Lombardi,chiesa di San Carlo dei Lombardi,Trinità; angelo; Carlo Borromeo; santo cristiano,,Carlo Borromeo,,
http://www.wikidata.org/entity/Q131823365,Gloria di angeli e santi con attributi mariani,Giovanni Balducci (maschio),1584,,Museo del Cenacolo di Andrea del Sarto,Museo del Cenacolo di Andrea del Sarto,Dio nel Cristianesimo; angelo,,Dio nel Cristianesimo,,
http://www.wikidata.org/entity/Q131825292,Agar e l'Angelo,Gioacchino Assereto (maschio),,,Palazzo Rosso,Musei di Strada Nuova,angelo; espulsione di Agar e Ismaele,,espulsione di Agar e Ismaele,,
http://www.wikidata.org/entity/Q131825279,Grifone e Arimaspi,,,,Museo archeologico nazionale di Napoli,Museo archeologico nazionale di Napoli,grifone; Arimaspi,,grifone; Arimaspi,,
http://www.wikidata.org/entity/Q131825307,Ercole musagete e gli dei dell'Olimpo,Jacopo Zucchi (maschio),,,Galleria delle pitture e delle statue degli Uffizi,Palazzo degli Uffizi,Olimpi; Eracle,,Eracle; Olimpi,,
http://www.wikidata.org/entity/Q131825312,Erodiade con la testa di Giovanni Battista,Francesco Cairo (maschio),1634,arte religiosa,Museo civico di Palazzo Chiericati,Museo civico di Palazzo Chiericati,Giovanni Battista; Erodiade; decapitazione di Giovanni Battista,,decapitazione di Giovanni Battista,117.0,93.3
http://www.wikidata.org/entity/Q131825329,Cavallo+cavaliere+caseggiato,Umberto Boccioni (maschio),1913,,Galleria Nazionale d'Arte Moderna e Contemporanea,Galleria Nazionale d'Arte Moderna e Contemporanea,Equus ferus caballus; cavaliere,,Equus ferus caballus,,
http://www.wikidata.org/entity/Q131825338,I due Foscari,Francesco Hayez (maschio),,,Palazzo Ducale,Palazzo Ducale,I due Foscari,,I due Foscari,,
http://www.wikidata.org/entity/Q131825319,Sacra Famiglia con San Giovannino e Santa Elisabetta,Pieter de Witte (maschio),,,Museo del Cenacolo di Andrea del Sarto,Museo del Cenacolo di Andrea del Sarto,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825317,Sacra Famiglia in un paesaggio,Girolamo da Carpi (maschio),,,Pinacoteca nazionale di Ferrara,Pinacoteca nazionale di Ferrara,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825322,Sacra Famiglia con Giovanni Battista,Perin del Vaga (maschio),,,Palazzo Rosso,Musei di Strada Nuova,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825323,"Sacra Famiglia con Santa Caterina, Santa Barbara e Santa Lucia",Carlo Bononi (maschio),,,Galleria Estense,Galleria Estense,Caterina d'Alessandria; Santa Lucia; santa Barbara; Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825320,Sacra Famiglia con Giovanni Battista e Santa Elisabetta,Giulio Cesare Procaccini (maschio),,,Palazzo Rosso,Musei di Strada Nuova,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825326,Sacra Famiglia con Giovanni Battista,Benvenuto Tisi da Garofalo (maschio),,,Palazzo Rosso,Musei di Strada Nuova,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825324,Sacra Famiglia con San Giovannino,Battista Dossi (maschio),,,Galleria di Palazzo Cini,Galleria di Palazzo Cini,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131825360,Maestà e un profeta,Jacopo di Mino del Pellicciaio (maschio),,,Museo diocesano d'arte sacra (San Miniato),Museo diocesano d'arte sacra (San Miniato),profeta; maestà,,maestà,,
http://www.wikidata.org/entity/Q131825364,Marina a Douarnenez,Gino Rossi (maschio),,,Galleria internazionale d'arte moderna,Galleria internazionale d'arte moderna,mare; Douarnenez,,mare,,
http://www.wikidata.org/entity/Q131829978,Santo Vescovo,,1600,arte religiosa,Museo diocesano,Museo diocesano,vescovo cattolico,,vescovo cattolico,58.0,146.0
http://www.wikidata.org/entity/Q131830267,Sant'Ampelio,Luca Baudo (maschio),1501,arte religiosa,Museo diocesano,Museo diocesano,Ampelio eremita,,Ampelio eremita,133.0,40.0
http://www.wikidata.org/entity/Q131830296,Sant'Eligio,Luca Baudo (maschio),1501,arte religiosa,Museo diocesano,Museo diocesano,Eligio di Noyon,,Eligio di Noyon,133.0,40.0
http://www.wikidata.org/entity/Q131830590,Martirio di Sant'Eusebio,Gaetano Gandolfi (maschio),1784,arte religiosa,duomo di Vercelli,Museo del Tesoro del Duomo,Eusebio di Vercelli,,,440.0,250.0
http://www.wikidata.org/entity/Q131831531,Confraternita in adorazione della Croce,Giulio De Rossi (maschio),1600,arte religiosa,Museo diocesano,Museo diocesano,Vera Croce; confraternita,,Vera Croce; confraternita,,
http://www.wikidata.org/entity/Q131832227,Dio Padre benedicente,,1600,arte religiosa,Museo diocesano,Museo diocesano,Dio Padre,,Dio Padre,,
http://www.wikidata.org/entity/Q131851014,Immacolata Concezione con santi,Piero di Cosimo (maschio),,,convento di San Francesco,convento di San Francesco,Immacolata Concezione; santo cristiano,,Immacolata Concezione,,
http://www.wikidata.org/entity/Q131851015,In risaia,Angelo Morbelli (maschio),1901,,Gallerie d'Italia – Milano,Gallerie d'Italia – Milano,campo,,campo,,
http://www.wikidata.org/entity/Q131851018,Trittico dello Spedale degli Innocenti,Giovanni Toscani (maschio),,,Museo degli innocenti,Museo degli innocenti,crocifissione di Gesù; Sacra conversazione,,Sacra conversazione,,
http://www.wikidata.org/entity/Q131851028,Giunone e Saturno,Paolo Veronese (maschio),,,Palazzo Ducale,Palazzo Ducale,Giunone; Saturno,,Giunone,,
http://www.wikidata.org/entity/Q131851035,La maga Circe,Giovanni Benedetto Castiglione (maschio),,,Museo Poldi Pezzoli,Museo Poldi Pezzoli,Circe,,Circe,,
http://www.wikidata.org/entity/Q131851016,Incredulità di San Tommaso,Bernardo Strozzi (maschio),1644,arte religiosa,Palazzo Rosso,Musei di Strada Nuova,Gesù; Tommaso,,Tommaso,,
http://www.wikidata.org/entity/Q131831783,Madonna col Bambino,,1500,arte religiosa,Museo diocesano,Museo diocesano,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131832197,Madonna col Bambino,,1400,arte religiosa,Museo diocesano,Museo diocesano,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131840176,Crocifissione,Raffaello De Rossi (maschio),1600,arte religiosa,Museo diocesano,Museo diocesano,Giovanni; crocifissione di Gesù; Antonio abate,,crocifissione di Gesù,200.0,130.0
http://www.wikidata.org/entity/Q131825306,Ercole e Onfale,Santi di Tito (maschio),,,Studiolo di Francesco I,Studiolo di Francesco I,Ercole e Onfale,,Ercole e Onfale,,
http://www.wikidata.org/entity/Q131851012,Immacolata Concezione,Bartolomeo di David (maschio),,arte religiosa,Museo di arte sacra della Val d'Arbia,Museo di arte sacra della Val d'Arbia,Immacolata Concezione,,Immacolata Concezione,,
http://www.wikidata.org/entity/Q131851013,Immacolata Concezione,Sebastiano Vini (maschio),,arte religiosa,duomo di Prato,duomo di Prato,Immacolata Concezione,,Immacolata Concezione,,
http://www.wikidata.org/entity/Q131825316,Sacra Famiglia,Bartolomeo Montagna (maschio),,arte religiosa,Museo Correr,Museo Correr,Sacra Famiglia,,Sacra Famiglia,,
http://www.wikidata.org/entity/Q131856664,San Paolo,Giovanni Andrea De Ferrari (maschio),1700,arte religiosa,Museo diocesano,Museo diocesano,Paolo di Tarso,,Paolo di Tarso,130.0,66.5
http://www.wikidata.org/entity/Q131857510,San Giuseppe,Giovanni Andrea De Ferrari (maschio),1700,arte religiosa,Museo diocesano,Museo diocesano,San Giuseppe,,San Giuseppe,130.0,66.5
http://www.wikidata.org/entity/Q131860141,Ritratto di cardinale,,1800,ritratto,Museo diocesano,Museo diocesano,cardinale,,cardinale,86.0,63.5
http://www.wikidata.org/entity/Q131851103,Arca di Noè,,,arte religiosa,Palazzo Ducale,Palazzo Ducale,arca di Noè,,arca di Noè,,
http://www.wikidata.org/entity/Q131851125,Resurrezione di Lazzaro,Gherardo Starnina (maschio),,arte religiosa,Museo dell'Opera di Santa Croce,Museo dell'Opera di Santa Croce,risurrezione di Lazzaro,,risurrezione di Lazzaro,,
http://www.wikidata.org/entity/Q131857319,San Gerolamo,Orazio De Ferrari (maschio),1700,arte religiosa,Museo diocesano,Museo diocesano,Sofronio Eusebio Girolamo,,Sofronio Eusebio Girolamo,102.0,75.0
http://www.wikidata.org/entity/Q131861810,San Simone Stock riceve dalla Madonna lo scapolare,,1700,arte religiosa,Museo diocesano,Museo diocesano,Maria; Simone Stock; Bambino Gesù,,Madonna col Bambino; Simone Stock,76.0,60.0
http://www.wikidata.org/entity/Q131851042,Marte e Nettuno,Paolo Veronese (maschio),,pittura mitologica,Palazzo Ducale,Palazzo Ducale,Marte; Nettuno,,Marte,,
http://www.wikidata.org/entity/Q131851041,Mansuetudine,Paolo Veronese (maschio),,,Palazzo Ducale,Palazzo Ducale,mansuetudine,,mansuetudine,,
