id,titolo
http://www.wikidata.org/entity/Q16467999,Ritratto dell'ambasciatore Gabriel de Luetz d'Aramont
http://www.wikidata.org/entity/Q16543332,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q16549203,Deposizione dalla croce
http://www.wikidata.org/entity/Q7401482,San Giovanni Battista
http://www.wikidata.org/entity/Q7750471,Martirio di san Lorenzo
http://www.wikidata.org/entity/Q11769022,Santa Maria Maddalena
http://www.wikidata.org/entity/Q11694943,Il doge Antonio Grimani in adorazione davanti alla Fede e san Marco in gloria
http://www.wikidata.org/entity/Q11753618,Leda e il cigno
http://www.wikidata.org/entity/Q7401416,San Girolamo penitente (Tiziano Brera)
http://www.wikidata.org/entity/Q7720644,Sepoltura e gloria di santa Petronilla
http://www.wikidata.org/entity/Q7885787,Scoperta del cadavere di Oloferne
http://www.wikidata.org/entity/Q7920573,Venere che benda amore
http://www.wikidata.org/entity/Q9387722,Il popolo d'Israele nel deserto
http://www.wikidata.org/entity/Q15982437,Nozze di Bacco e Arianna
http://www.wikidata.org/entity/Q15974347,Pala dei tre arcangeli
http://www.wikidata.org/entity/Q16167039,ante dell'organo della chiesa di San Giovanni Evangelista
http://www.wikidata.org/entity/Q16564738,Il Battesimo di Cristo
http://www.wikidata.org/entity/Q16573223,Lo staffato
http://www.wikidata.org/entity/Q16574865,Madonna di San Bernardino
http://www.wikidata.org/entity/Q16585848,Pala Bevilacqua-Lazise
http://www.wikidata.org/entity/Q16585871,Pala di San Domenico
http://www.wikidata.org/entity/Q16596967,Ritratto della contessina Antonietta Negroni Prati Morosini bambina
http://www.wikidata.org/entity/Q16608187,Sposalizio mistico di santa Caterina da Siena
http://www.wikidata.org/entity/Q16621939,San Francesco riceve le stigmate
http://www.wikidata.org/entity/Q16620779,Vergine con bambino
http://www.wikidata.org/entity/Q17638342,Parma abbraccia Alessandro Farnese
http://www.wikidata.org/entity/Q18226128,Autoritratto
http://www.wikidata.org/entity/Q17652075,Sacra Famiglia con sant'Anna e san Giovannino
http://www.wikidata.org/entity/Q18385026,Butteri
http://www.wikidata.org/entity/Q18688370,Ritratto di Urbano VIII
http://www.wikidata.org/entity/Q18578019,L'Ortolano
http://www.wikidata.org/entity/Q19966606,Sposalizio della Vergine
http://www.wikidata.org/entity/Q19947640,Ritratto di gentiluomo
http://www.wikidata.org/entity/Q19966608,Sposalizio mistico di santa Caterina
http://www.wikidata.org/entity/Q19966565,Cristo incoronato di spine
http://www.wikidata.org/entity/Q19882485,Ritratto di papa Urbano VIII
http://www.wikidata.org/entity/Q19660300,Il Canal Grande da Ca' Foscari verso il ponte di Rialto
http://www.wikidata.org/entity/Q19681559,Il Rio dei Mendicanti e la Scuola di San Marco
http://www.wikidata.org/entity/Q19681664,Veduta di Gazzada
http://www.wikidata.org/entity/Q19686409,Capriccio con casa rustica in riva alla laguna
http://www.wikidata.org/entity/Q19686414,Capriccio con arco classico e capre
http://www.wikidata.org/entity/Q19390001,Autoritratto nello studio
http://www.wikidata.org/entity/Q19516146,Ritratto di Giulio II
http://www.wikidata.org/entity/Q19060568,Ritratto di Ferdinando IV
http://www.wikidata.org/entity/Q19060621,Ferdinando IV a cavallo con la corte
http://www.wikidata.org/entity/Q19361572,Autoritratto di Elisabeth Luisa Vigée-Le Brun
http://www.wikidata.org/entity/Q20092785,San Gerolamo
http://www.wikidata.org/entity/Q21192549,Iscrizione della catacomba di Commodilla
http://www.wikidata.org/entity/Q20991673,Autoritratto
http://www.wikidata.org/entity/Q20744065,Autoritratto di Niccolò Musso
http://www.wikidata.org/entity/Q20744144,Due pastori di Giuseppe Vermiglio
http://www.wikidata.org/entity/Q20744173,Ritratto di Garibaldi
http://www.wikidata.org/entity/Q21121896,I santi Fedele da Sigmaringen e Giuseppe da Leonessa calpestano l'Eresia
http://www.wikidata.org/entity/Q23305501,Autoritratto
http://www.wikidata.org/entity/Q22931136,Auto ritratto
http://www.wikidata.org/entity/Q22917444,Incoronazione della beata Giuliana alla presenza di Sant'Ambrogio
http://www.wikidata.org/entity/Q22949398,San Filippo Neri e San Luigi Gonzaga in gloria
http://www.wikidata.org/entity/Q22949778,Gloria di San Gregorio magno
http://www.wikidata.org/entity/Q22949827,Elia nel deserto svegliato dall'angelo
