id,data_creazione
http://www.wikidata.org/entity/Q7232305,1545
http://www.wikidata.org/entity/Q7401416,1558
http://www.wikidata.org/entity/Q7401482,1540
http://www.wikidata.org/entity/Q7720644,1623
http://www.wikidata.org/entity/Q7750471,1558
http://www.wikidata.org/entity/Q7885787,1470
http://www.wikidata.org/entity/Q7920573,1565
http://www.wikidata.org/entity/Q9387722,1593
http://www.wikidata.org/entity/Q11694943,1555
http://www.wikidata.org/entity/Q11753618,1550
http://www.wikidata.org/entity/Q11769022,1580
http://www.wikidata.org/entity/Q12172990,1732
http://www.wikidata.org/entity/Q15008032,1514 | 1529
http://www.wikidata.org/entity/Q15157527,
http://www.wikidata.org/entity/Q15974347,1516
http://www.wikidata.org/entity/Q15982437,1504
http://www.wikidata.org/entity/Q16167039,1535
http://www.wikidata.org/entity/Q16467999,1541
http://www.wikidata.org/entity/Q16536592,1756 | 1759
http://www.wikidata.org/entity/Q16543332,1540
http://www.wikidata.org/entity/Q16549203,1568
http://www.wikidata.org/entity/Q16564738,1610
http://www.wikidata.org/entity/Q16573223,1880
http://www.wikidata.org/entity/Q16574865,1262
http://www.wikidata.org/entity/Q16585848,1548
http://www.wikidata.org/entity/Q16585871,
http://www.wikidata.org/entity/Q16596967,1858
http://www.wikidata.org/entity/Q16608187,1528
http://www.wikidata.org/entity/Q16620779,1475
http://www.wikidata.org/entity/Q16621939,1575
http://www.wikidata.org/entity/Q17638342,1556
http://www.wikidata.org/entity/Q17652075,1525
http://www.wikidata.org/entity/Q18226128,1669
http://www.wikidata.org/entity/Q18385026,1893
http://www.wikidata.org/entity/Q18578019,1587
http://www.wikidata.org/entity/Q18688370,1625
http://www.wikidata.org/entity/Q19060568,1759
http://www.wikidata.org/entity/Q19060621,1760
http://www.wikidata.org/entity/Q19361572,1790
http://www.wikidata.org/entity/Q19390001,1579
http://www.wikidata.org/entity/Q19516146,1512
http://www.wikidata.org/entity/Q19660300,1727
http://www.wikidata.org/entity/Q19681559,1740
http://www.wikidata.org/entity/Q19681664,1744
http://www.wikidata.org/entity/Q19686409,1767
http://www.wikidata.org/entity/Q19686414,1741
http://www.wikidata.org/entity/Q19882485,1631
http://www.wikidata.org/entity/Q19947640,1513
http://www.wikidata.org/entity/Q19966565,1596
http://www.wikidata.org/entity/Q19966606,1540
http://www.wikidata.org/entity/Q19966608,1524
http://www.wikidata.org/entity/Q20092785,1556
http://www.wikidata.org/entity/Q20744065,1700
http://www.wikidata.org/entity/Q20744144,
http://www.wikidata.org/entity/Q20744173,1866
http://www.wikidata.org/entity/Q20991673,1784
http://www.wikidata.org/entity/Q21121896,1752
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q21666329,1441
http://www.wikidata.org/entity/Q22917444,1780
http://www.wikidata.org/entity/Q22931136,1888
http://www.wikidata.org/entity/Q22949398,1750
http://www.wikidata.org/entity/Q22949778,1740
http://www.wikidata.org/entity/Q22949827,1750
http://www.wikidata.org/entity/Q22958240,1760
http://www.wikidata.org/entity/Q23006207,1760
http://www.wikidata.org/entity/Q23305501,1646
http://www.wikidata.org/entity/Q24050695,1921
http://www.wikidata.org/entity/Q24090610,1920
http://www.wikidata.org/entity/Q24090614,1925
http://www.wikidata.org/entity/Q24091047,1920
http://www.wikidata.org/entity/Q24091066,1925
http://www.wikidata.org/entity/Q24091089,1966
http://www.wikidata.org/entity/Q24091112,1937
http://www.wikidata.org/entity/Q24325684,1635
http://www.wikidata.org/entity/Q24933808,
http://www.wikidata.org/entity/Q24938224,1889
http://www.wikidata.org/entity/Q24939660,1946
http://www.wikidata.org/entity/Q24939839,1957
http://www.wikidata.org/entity/Q24939843,1537
http://www.wikidata.org/entity/Q24939884,1932
http://www.wikidata.org/entity/Q24940870,1923
http://www.wikidata.org/entity/Q25388274,1883
http://www.wikidata.org/entity/Q25410292,1951
http://www.wikidata.org/entity/Q25410567,1960
http://www.wikidata.org/entity/Q25444052,1549
http://www.wikidata.org/entity/Q26256901,1541
http://www.wikidata.org/entity/Q26488380,1780
http://www.wikidata.org/entity/Q27504416,1767
http://www.wikidata.org/entity/Q27507068,1778
http://www.wikidata.org/entity/Q27650796,1884
http://www.wikidata.org/entity/Q27664456,1740
http://www.wikidata.org/entity/Q27827425,1659
http://www.wikidata.org/entity/Q27830737,1659
http://www.wikidata.org/entity/Q27948860,1841
http://www.wikidata.org/entity/Q27955751,1508 | 1512
http://www.wikidata.org/entity/Q28093447,1712
http://www.wikidata.org/entity/Q28113318,1546
http://www.wikidata.org/entity/Q28113316,1650
http://www.wikidata.org/entity/Q28147005,1511
http://www.wikidata.org/entity/Q28229077,1514
http://www.wikidata.org/entity/Q28466203,1557
http://www.wikidata.org/entity/Q28547106,1861
http://www.wikidata.org/entity/Q28668222,1614
http://www.wikidata.org/entity/Q28668544,1600
http://www.wikidata.org/entity/Q28798137,
http://www.wikidata.org/entity/Q28803486,1645
http://www.wikidata.org/entity/Q28803484,1627
http://www.wikidata.org/entity/Q28803514,1625
