id,contenuti
http://www.wikidata.org/entity/Q3904398,Gesù; Maria; donna; uomo
http://www.wikidata.org/entity/Q3907344,Polimnia
http://www.wikidata.org/entity/Q3907497,Maria; donna; ragazzo; san Sebastiano; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q3908184,
http://www.wikidata.org/entity/Q3910087,Alessandria d'Egitto; cupola; Giraffa; torre; Marco; predica; Camelus dromedarius; obelisco; turbante
http://www.wikidata.org/entity/Q3910913,Maria; donna; ragazzo; Presentazione al Tempio; Bambino Gesù
http://www.wikidata.org/entity/Q3921705,cielo; montagna; neve; nuvola; luce del giorno; paesaggio; campagna; erba
http://www.wikidata.org/entity/Q3921912,Maria; donna; ragazzo; san Sebastiano; Bambino Gesù
http://www.wikidata.org/entity/Q3924389,Mosè
http://www.wikidata.org/entity/Q3925592,
http://www.wikidata.org/entity/Q3937080,Galleria Vittorio Emanuele II
http://www.wikidata.org/entity/Q3937438,Bernardo de' Rossi
http://www.wikidata.org/entity/Q3937502,Cosimo de' Medici
http://www.wikidata.org/entity/Q3937511,Eleonora Gonzaga della Rovere
http://www.wikidata.org/entity/Q3937547,Equus ferus caballus; equitazione; sguardo rivolto verso l'osservatore; Giovanni Carlo Doria
http://www.wikidata.org/entity/Q3937553,Giulia Varano
http://www.wikidata.org/entity/Q3937561,Giulio Clovio
http://www.wikidata.org/entity/Q3937569,Ippolito de' Medici
http://www.wikidata.org/entity/Q3937598,donna
http://www.wikidata.org/entity/Q3937634,Mosè Bianchi
http://www.wikidata.org/entity/Q3937643,papa Paolo III
http://www.wikidata.org/entity/Q3944499,Maria; ragazzo; Caterina d'Alessandria; Sacra Famiglia; Bambino Gesù
http://www.wikidata.org/entity/Q3944515,Sacra conversazione; donatore; ritratto del donatore; Bambino Gesù; Maria; Domenico di Guzmán; Caterina d'Alessandria
http://www.wikidata.org/entity/Q3945254,
http://www.wikidata.org/entity/Q3945710,donna; Salomè; vassoio; testa umana; Salomè con la testa del Battista
http://www.wikidata.org/entity/Q3946910,ragazzo; San Cristoforo; Bambino Gesù
http://www.wikidata.org/entity/Q3947013,Domenico di Guzmán
http://www.wikidata.org/entity/Q3947064,
http://www.wikidata.org/entity/Q3947210,cielo; drago; nuvola; uomo; spada; strada; lancia; san Giorgio; campagna; aureola; biondi; ghirlanda; armatura; chiasmo; muro di cortina
http://www.wikidata.org/entity/Q3947211,drago; san Giorgio; san Giorgio e il drago
http://www.wikidata.org/entity/Q3947277,Giovanni; aquila di San Giovanni
http://www.wikidata.org/entity/Q3947281,topless; croce cristiana; San Giovannino
http://www.wikidata.org/entity/Q3947288,Sofronio Eusebio Girolamo
http://www.wikidata.org/entity/Q3947375,ragazzo; Giacomo il Maggiore; paesaggio; aureola
http://www.wikidata.org/entity/Q3947504,Luca
http://www.wikidata.org/entity/Q3947687,Michele
http://www.wikidata.org/entity/Q3947723,Giovanni Battista; Nicola di Bari; Santa Lucia
http://www.wikidata.org/entity/Q3947812,Pietro
http://www.wikidata.org/entity/Q3948034,Equus ferus caballus
http://www.wikidata.org/entity/Q3948651,Sant'Agata
http://www.wikidata.org/entity/Q3948701,Andrea
http://www.wikidata.org/entity/Q3949208,Gesù; Maria; unicorno; bambino; preghiera; Risurrezione di Gesù; trono; monaca; santa Monica; cimiero
http://www.wikidata.org/entity/Q3949310,Santa Lucia; Apollonia di Alessandria
http://www.wikidata.org/entity/Q3949373,San Lorenzo; Stefano
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3954057,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q3967206,Maria; donna
http://www.wikidata.org/entity/Q3973584,Stimmate di San Francesco; Francesco d'Assisi
http://www.wikidata.org/entity/Q3974449,
http://www.wikidata.org/entity/Q3979950,Maria; donna; musica; ragazzo; madre; angelo; Bambino Gesù
http://www.wikidata.org/entity/Q3979952,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3979961,Gesù; Maria; donna; Agostino d'Ippona; uomo; Giovanni
http://www.wikidata.org/entity/Q3981174,Campidoglio; Tarquinio il Superbo; Tempio di Giove Ottimo Massimo
http://www.wikidata.org/entity/Q3982379,
http://www.wikidata.org/entity/Q3983114,acqua; donna; allegoria; sandalo; brocca; abito da donna; trono; posizione seduta; temperanza; catino
http://www.wikidata.org/entity/Q3984830,
http://www.wikidata.org/entity/Q3985169,Gesù; uomo
http://www.wikidata.org/entity/Q3985186,
http://www.wikidata.org/entity/Q3985472,
http://www.wikidata.org/entity/Q3992111,Tobia
http://www.wikidata.org/entity/Q3994163,
http://www.wikidata.org/entity/Q3997723,Gesù; Mosè; Elia; trasfigurazione di Gesù
http://www.wikidata.org/entity/Q3998940,Trionfo della Morte
http://www.wikidata.org/entity/Q3999094,Maria; donna; ragazzo; Bambino Gesù; Madonna del Latte; Madonna col Bambino
http://www.wikidata.org/entity/Q3999095,Maria; donna; ragazzo; madre; Pietro; Benedetto da Norcia; Marco; Nicola di Bari; Bambino Gesù; musicista; angelo; Madonna col Bambino
http://www.wikidata.org/entity/Q4006302,
