id,edizione
http://www.wikidata.org/entity/Q123110125,2
http://www.wikidata.org/entity/Q137015827,1
http://www.wikidata.org/entity/Q137015830,1
http://www.wikidata.org/entity/Q137015831,1
http://www.wikidata.org/entity/Q137015828,1
http://www.wikidata.org/entity/Q137015829,1
http://www.wikidata.org/entity/Q137017519,1
http://www.wikidata.org/entity/Q137017522,1
http://www.wikidata.org/entity/Q137017523,1
http://www.wikidata.org/entity/Q137017524,1
http://www.wikidata.org/entity/Q137104650,1
http://www.wikidata.org/entity/Q137104651,1
http://www.wikidata.org/entity/Q137104648,1
http://www.wikidata.org/entity/Q101086004,
http://www.wikidata.org/entity/Q134444975,
http://www.wikidata.org/entity/Q127868956,507
http://www.wikidata.org/entity/Q99661235,3/4
http://www.wikidata.org/entity/Q99573989,2
http://www.wikidata.org/entity/Q134445011,
http://www.wikidata.org/entity/Q112913666,
http://www.wikidata.org/entity/Q112913673,
http://www.wikidata.org/entity/Q112913686,
http://www.wikidata.org/entity/Q112913687,
http://www.wikidata.org/entity/Q112913684,
http://www.wikidata.org/entity/Q112913688,
http://www.wikidata.org/entity/Q135399994,
http://www.wikidata.org/entity/Q135442878,
http://www.wikidata.org/entity/Q107620404,3
http://www.wikidata.org/entity/Q128795587,
http://www.wikidata.org/entity/Q121298479,1
http://www.wikidata.org/entity/Q121299313,1
http://www.wikidata.org/entity/Q65594178,
http://www.wikidata.org/entity/Q77304139,
http://www.wikidata.org/entity/Q127598311,
http://www.wikidata.org/entity/Q127868932,2
http://www.wikidata.org/entity/Q134393758,
http://www.wikidata.org/entity/Q134393756,
http://www.wikidata.org/entity/Q134393757,
http://www.wikidata.org/entity/Q134393762,
http://www.wikidata.org/entity/Q134393763,
http://www.wikidata.org/entity/Q134393760,
http://www.wikidata.org/entity/Q134393761,
http://www.wikidata.org/entity/Q134513674,
http://www.wikidata.org/entity/Q134513673,
http://www.wikidata.org/entity/Q134513678,
http://www.wikidata.org/entity/Q134513679,
http://www.wikidata.org/entity/Q134513692,
http://www.wikidata.org/entity/Q134513697,
http://www.wikidata.org/entity/Q134513709,
http://www.wikidata.org/entity/Q136399613,3
http://www.wikidata.org/entity/Q111601394,
http://www.wikidata.org/entity/Q111601392,
http://www.wikidata.org/entity/Q111601398,
http://www.wikidata.org/entity/Q111601399,
http://www.wikidata.org/entity/Q111601396,
http://www.wikidata.org/entity/Q111601397,
http://www.wikidata.org/entity/Q111601402,
http://www.wikidata.org/entity/Q111601401,
http://www.wikidata.org/entity/Q111601404,
http://www.wikidata.org/entity/Q111601410,
http://www.wikidata.org/entity/Q111601411,
http://www.wikidata.org/entity/Q111601414,
http://www.wikidata.org/entity/Q111601413,
http://www.wikidata.org/entity/Q111601423,
http://www.wikidata.org/entity/Q111602339,
http://www.wikidata.org/entity/Q111602343,
http://www.wikidata.org/entity/Q111602340,
http://www.wikidata.org/entity/Q111602345,
http://www.wikidata.org/entity/Q111602350,
http://www.wikidata.org/entity/Q111602351,
http://www.wikidata.org/entity/Q111602354,
http://www.wikidata.org/entity/Q111602353,
http://www.wikidata.org/entity/Q111602358,
http://www.wikidata.org/entity/Q111602359,
http://www.wikidata.org/entity/Q111602356,
http://www.wikidata.org/entity/Q111602357,
http://www.wikidata.org/entity/Q111602362,
http://www.wikidata.org/entity/Q111602363,
http://www.wikidata.org/entity/Q111602360,
http://www.wikidata.org/entity/Q111602361,
http://www.wikidata.org/entity/Q111602366,
http://www.wikidata.org/entity/Q111602367,
http://www.wikidata.org/entity/Q111602364,
http://www.wikidata.org/entity/Q111602365,
http://www.wikidata.org/entity/Q111602370,
http://www.wikidata.org/entity/Q111602371,
http://www.wikidata.org/entity/Q111602368,
http://www.wikidata.org/entity/Q111602369,
http://www.wikidata.org/entity/Q111602374,
http://www.wikidata.org/entity/Q111602375,
