id,basi_dati
http://www.wikidata.org/entity/Q59096089,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096094,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712106,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712107,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712105,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712110,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712109,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712112,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712113,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712116,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712134,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712144,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712156,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712171,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712184,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q64712198,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q65594178,
http://www.wikidata.org/entity/Q69559758,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q69646153,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q69776340,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q69776400,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q69776436,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q69776444,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q69776453,Scopus; Science Citation Index Expanded
http://www.wikidata.org/entity/Q70982360,Scopus; Journal Citation Reports; SCImago Journal Rank
http://www.wikidata.org/entity/Q73492838,Scopus; Journal Citation Reports; SCImago Journal Rank
http://www.wikidata.org/entity/Q74825992,Scopus; DOAJ; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q77304139,Scopus; Arts and Humanities Citation Index; SCImago Journal Rank
http://www.wikidata.org/entity/Q78577731,Scopus; Emerging Sources Citation Index
http://www.wikidata.org/entity/Q82514580,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82514642,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82514941,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82514978,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515058,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515159,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515164,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515170,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515168,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515174,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515177,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515180,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q82515186,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q83365686,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q83612194,
http://www.wikidata.org/entity/Q92592463,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92592494,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92592577,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92592656,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92592734,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92592817,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92592907,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92593011,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92593112,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q92593206,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q95997038,Scopus
http://www.wikidata.org/entity/Q95997039,Scopus
http://www.wikidata.org/entity/Q95997044,Scopus
http://www.wikidata.org/entity/Q95997054,Scopus
http://www.wikidata.org/entity/Q95997062,Scopus
http://www.wikidata.org/entity/Q95997060,Scopus
http://www.wikidata.org/entity/Q95997061,Scopus
http://www.wikidata.org/entity/Q95997066,Scopus
http://www.wikidata.org/entity/Q95997067,Scopus
http://www.wikidata.org/entity/Q95997073,Scopus
http://www.wikidata.org/entity/Q95997079,Scopus
http://www.wikidata.org/entity/Q95997076,Scopus
http://www.wikidata.org/entity/Q95997077,Scopus
http://www.wikidata.org/entity/Q95997082,Scopus
http://www.wikidata.org/entity/Q95997081,Scopus
http://www.wikidata.org/entity/Q95997084,Scopus
http://www.wikidata.org/entity/Q95997102,Scopus
http://www.wikidata.org/entity/Q95997103,Scopus
http://www.wikidata.org/entity/Q95997101,Scopus
http://www.wikidata.org/entity/Q96623074,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q96623075,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q96623078,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q96623079,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q96623076,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q96623082,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q96623083,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
